text,author
连正忙着孵窝的麻雀都不敢动了，张着小嘴在树叶下蹲着,LS
汪精卫居然敢上北平来，来和北平的汉奸们称兄唤弟，人的不害羞还有个限度没有呢？汪逆是中国人，有一个这样的无限度不害羞的中国人便是中国历史上永远的耻辱,LS
又隔了一会儿，霞散开，一块红的，一块灰的，散成许多小块，给天上摆起几穗葡萄和一些苹果,LS
“好了！祁先生，这个人的不听话，我们请他老站着,LS
同时，他因想到日本掀起了世界战争，而觉得自己的工作也许会更紧张，更惊险,LS
蓝先生最讨厌人家扰他的早睡和早上吸第一支烟时的小盹儿,LS
日本人，为了收买人心，和威胁老汉奸们，想造就一批新汉奸,LS
就是在捉住那个小虫的当天晚上，他被传去受审,LS
可是，口张开而忘了话，他感到一阵迷乱,LS
既有困难，而他又不能帮助解决，光说些空话有什么用处呢？他的嘴唇动了几动，而找不到话说,LS
他应当干什么去呢？教书去？不行，他不肯到教育局去登记,LS
钱老人嗯嗯的答应了两声，没说出话来,LS
那真正替敌人打扫街道与维持秩序的，却是市政府,LS
东阳的眼珠屡屡的吊上去，又落下来,LS
“这屋里的，桐芳，和我与招弟屋里的，箱子匣子，一律搬净！我急了，过去质问他们,LS
刚立稳，他又坐下了,LS
他们把家眷与财产都带到中国来，而他自己却要死在异域，教女人们抱一小罐儿骨灰回去,LS
她心中很得意，可是说不出话来,LS
瑞宣心里亮了一下，他就疑心她，所以每次她用话探他，他老留着神，不肯向她多说多道,LS
“我一定送个顶大顶大的银杯去,LS
他只冷淡的——也必定是傲慢的——点了一下头,LS
她看瑞丰这么大惊小怪的，有点缺乏男儿气,LS
丁约翰没明白瑞宣的意思，他没法儿明白,LS
这时候，日本兵正要用刺刀扎孙七，可是最后下车的一个，穿着长衫颇体面的人，跳下车来掉头就跑,LS
“调查户口，没别的事,LS
老百姓是不甘心受日本人奴役的，他们要反抗,LS
他希望学生们问他点什么,LS
“那，你知道，特务的地址是不准告诉别人的！“,LS
对于上司，他过分的巴结，而巴结得不是地方,LS
今天，为庆祝战胜美国，每个日本人都又得到了酒,LS
“当然是你了！你想起什么，作就是了！不必一一的问！“东阳的脾气，在吃早点以前，是特别坏的,LS
他极大胆的穿上了一套中山装！自从日本人一进城，中山装便与三民主义被大家藏起去，正象革命军在武汉胜利的时候，北平人——包括一些旗人在内——便迎时当令的把发辫卷藏在帽子里那样,LS
两口热茶喝下去，瑞宣的精神振作了一些,LS
她知道老人在这几天不定盘算了千次万次，怎么过生日，可是故意的说不要贺生,LS
老人叹了口气，而后仿佛已筋疲力尽了似的，极慢极慢的说：“你也许看我是发了疯，把馒头往外乱塞！我没有疯，没有！想想吧，要是天佑，瑞丰，瑞全，常二爷，连那个胖二媳妇，都在里面，得吃多少馒头呢？我假装的拿亲戚们当作了天佑，常二爷……！他们吃了，也就好象……！“老人又低下头去,LS
她仍然不大清楚日本人为什么要和我们打仗，和为什么占据了北平，可是她由困难与劳累中仿佛咂摸到了这些不幸与苦痛都是日本人带给她的,LS
把酒瓶交与老二，他忸怩的说了声：“我们在长沙打了大胜仗！“,LS
没有个地方住，是严重的事,LS
“您看哪，今年我的货要是都卖不出去，明年我还傻瓜似的预备吗？不会！要是几年下去，这行手艺还不断了根？您想是不是？“,LS
他们最不愿要和平，而那些小鼻小眼的人却提出“和平“；他们本只忠于自己——为升官，为抢钱，而发动战争——而政客们偏说他们是忠于天皇,LS
钱先生背上的那一部分小褂只剩了两个肩，肩下面只剩了几条，都牢固的镶嵌在血的条痕里,LS
她的嗓子不错，只是底气不足，往往唱着唱着便声嘶力竭,LS
新搬来的人家，必定先到他这里来拜街坊；邻居有婚丧事设宴，他必坐首席；他是这一带的老人星，代表着人口昌旺，与家道兴隆！,LS
“妞子，跟你太爷爷来,LS
瑞丰见祖父真生了气，不敢再说什么，扯起晓荷往外就走,LS
今年，存货既已卖完，而各矿的新煤被日本人运走，只给北平留下十分之一二,LS
瑞丰一直到快三点钟了才回来,LS
“她可没说：“要是连篮子一块儿给抢了去呢？“,LS
冠晓荷知道这里不许男人进来，就立在外边，时时的开开门缝往里看一眼，招得里边狼嚎鬼叫的咒骂，而他觉得怪有趣，怪舒服,LS
“不管怎样，这两天反正我得请假！“,LS
有朝一日，他想，他必定和日本人发生更密切的关系，他也就需要更多的知识，和冠晓荷一样多的知识，好在吃喝玩乐之中取得日本人的欢心,LS
她的责任心使她坚强，勇敢，任劳任怨,LS
她好象已经忘了她是个女人,LS
他不故意的冷淡谁，也不肯绕着弯子去巴结人,LS
假若可能，她一辈子也不愿再进五号的门,LS
她知道那个出好酱菜的城也是中国的，而中国人似乎不该去庆祝它的陷落,LS
把微微发热的手心按在脑门上，他对自己说：“算了吧，我和他还不一样的是亡国奴！“,LS
对他自己被捕的这件事，他也一样的摸不清头脑,LS
他自居为北平的主人，因为他知道一切,LS
今年，他由生日的前十天，已经在夜间睡得不甚安贴了,LS
多喒恐怖由我们造成，我们就看见了光明；刀枪的亮光是解放与自由闪电,LS
没有她，她想，他必会闹到有那么一天，连一条狗都不会向他摇摇尾巴,LS
“他站起来，跟瑞宣拉了拉手，就往外走了,LS
高先生原是卖草药出身，也不知怎的到过日本一趟，由东洋回来，他便挂牌行医了,LS
“想办法！想办法！咱们上哪儿去！“晓荷不再笑，可也没特别的着急：“不会！不会！东洋人对咱们不能那么狠心！“,LS
长顺立在那里，要再说话，没的可说，要告辞又不好意思,LS
假若不愿在家，他可以到北海的莲塘里去划船，或在太庙与中山公园的老柏树下品茗或摆棋,LS
所以，她只好求其次者，要瑞丰，或蓝东阳,LS
虽然都是近邻，可是一来彼此不大常来往，二来因日本人闹的每家都有一本难念的经，所以偶尔相见，话就特别的多,LS
“啊！对！“瑞宣连连的点头,LS
她看不起那两个狗仗人势给日本人作事的枪手,LS
慢慢的，她掏出包着二十块现洋的手帕来,LS
无论怎样无聊，她也不肯到街门口去站立一会儿,LS
李四爷只随便的哼了两声，便搭讪着走开,LS
在灯下，他也要学一学祖父与老二的方法，抓住现实，而忘了远处的理想与苦痛,LS
是的，定价要高，一转手，就是一笔收入,LS
现在，他看见的只是《孝经》，《四书》，与《西厢记》等等的重印，而看不到真的新书,LS
他极和蔼的领受“便衣“的训示，满脸堆笑的说：“是！是！你哥儿们多辛苦啦！不进来喝口茶吗？“,LS
他不怕给抓起来，他身强力壮，挨几下子也没什么，然而要是日本人没收了他的产业，那可就真要了命了,LS
在东四牌楼附近，他找到了鞋铺,LS
自他一进北平城，便发现了日本人用全力捉捕，消灭，地下工作者,LS
他不希望自己真能作诗或作画，而只求知道一点术语和诗人画家的姓名，与派别，好不至于在名人们面前丢丑,LS
受罪最大的是高亦陀，他有烟瘾，而找不到烟吃,LS
他扶着那炙手的墙壁，去找茅房,LS
在以前，每逢柳树发了绿的时候，他必定带着他们到护国寺去买赤包儿秧子，葫芦秧子，和什么小盆的“开不够“与各种花仔儿,LS
老王永远不讨厌，不利用孩子们的哭叫而立定不走，以便多作一号生意,LS
在北平陷落的时候，富善先生便派人给瑞宣送来信,LS
他非常的实际，冠晓荷既还赋闲，他就不必分外的客气,LS
两行站在人行道上，面也朝着马路,LS
假若她被圈在西山碧云寺，没有电影，戏剧，锣鼓，叫嚣，尽管身边有个极可爱的爱人，恐怕她也会发疯的，她想,LS
北平的日本特务机关举行了整饬风纪运动，要彻底肃清不可靠的中国人,LS
建议被接受了，可是宾主的心情都并没因此而好转,LS
她瘦了，越瘦，眼睛就越显得大,LS
“什么？“他不肯相信自己的耳朵,LS
哪怕来条狗冲他摇摇尾巴呢，他也会把心里话跟它说一说,LS
对钱先生个人，和对日本人的愤恨，他以为他都应该负起使老人马上能恢复健康的责任——没有一点勉强！,LS
李四爷急得出了汗，用手式和简短的话屡屡暗示出催促的意思,LS
他的太太，文若霞，是家中早就给他定下的,LS
长顺装出成年人的样子，沉着气，很客气的说：“小崔不是死了吗，家中很窘，我来跟老邻居们告个帮！“他的呜囔的声音虽然不能完全去掉，可是言语的恰当与态度的和蔼使他自己感到满意,LS
四外可是没有赶档子的小贩，也没有看热闹的男女,LS
“罚跪还是小事，二爷爷！不准用咱们的钱才厉害！钱就是咱们的血脉，把血脉吸干，咱们还怎么活着呢？“瑞宣明知道这几句话毫无用处，可是已经憋了好久，没法不说出来,LS
他和小崔都想偷偷的活着，而偷生恰好是惨死的原因,LS
老人如同秋天的叶子——时候一到，就得落下来，妞子还是一朵含苞未放的鲜花儿呢,LS
但是，她找不到事，而且手中眼看着就没了钱,LS
瑞丰倒还有这点敏感，可是不敢阻拦太太的高兴；他晓得，他若开口教她下来，他就至少须牺牲这一夜的睡眠，好通宵的恭听太太的训话,LS
若霞把三块四毛钱托在手掌上，由屋里走出来,LS
“不过，也别太忙吧？谁知道事情准变成什么样子呢,LS
他万没想到，井田居然也会作了日本军阀的走狗，来戏弄中国人，戏弄文艺，并且戏弄真理,LS
走了几步，他改了念头,LS
“我哪回吃饭没给钱？你怎么这样不信我的话呢？“冠先生假装儿皱上眉，和跑堂的逗着玩,LS
可是祁老人要上街去看看，为是给儿子天佑送个信，教儿子也喜欢喜欢,LS
御河沿上已没有了茶座，地上有不少发香的松花,LS
妞子也不肯落后，“妈！妞妞戴！“,LS
跟和尚分手的时候，瑞宣觉出北平春天的阳光照亮了他的心，快活极了,LS
东屋住着小文夫妇，都会唱戏，表面上是玩票，而暗中拿“黑杵“①,LS
他们不能再给他施刑，那对不起两位支那通的报告,LS
“你们可真够朋友，“大赤包故意板着脸开玩笑，“连我告诉都不告诉一声！该罚！说吧，罚你们慰劳这三位得奖的小姐，每人一杯红茶，两块点心，行不行？“可是，没等他们俩出声，她就改了嘴，她知道东阳吝啬,LS
日本人在西苑修飞机场，占去他们许多亩地，而在靠近西山的那些田产，既找不到人去耕种，只要照常纳税完粮，所以他们决定放弃了土地，而到城里躲一躲,LS
小老鼠板起脸来：“你，看起英国的，看不起大日本的！要悔改的！“说完，他狠狠的踢了死人两脚,LS
他顾不得盘算，去收买，去整理，去洗刷，去拼凑，去缝起，去记账，要出多少劳力，费多少时间,LS
富善先生在暑假里也不肯离开北平,LS
他没有能力使它们集合到一处，他觉得烦躁,LS
他想，即使不都说，似乎也应告诉韵梅几句，好表示对她的亲热与感激,LS
见“敌人“走净，冠家夫妇一齐量好了声音，使声音不至传到西院去，开始咒骂,LS
他有许多话要说，而一句也说不出来,LS
现在，用不着再低三下四地去讨好他了,LS
于是，把眼珠吊起，许久不放下来，施展自己的威风,LS
他的女儿去买烧饼，打开水，与他自己去，是一样的丢人！可是，烧饼到底是可以充饥的东西，他又不便过度的和肚子闹别扭,LS
还有人说：日本人在西苑西北屠了两三个村子，因为那里窝藏着我们的游击队,LS
自从日本人攻陷了南京，北平的地位就更往下落了许多,LS
“怎么啦？您是谁？“金三不知所措了,LS
“我知道你不怕，”瑞宣要笑，而没有笑出来,LS
端着枪，日本兵跑回来,LS
招弟，只穿着件细毛线的红背心，外披一件大衣，跑了过来,LS
现在，老人可还不会讲话,LS
为急于再到别家去，他用钢笔签上字,LS
“真的？“瑞丰狂喜的说：“喝！谢天谢地！二小姐是真有两下子，真有两下子，我佩服，五体投地的佩服！““高第！“晓荷高声的叫：“我们可以放声的哭了！教街坊们听一听！哼，我死了作所长的太太，可又有了作特务的女儿！他们敢再向我翻白眼，我教招弟马上抓他们下狱！来，我们哭！“说罢，他高声的哭叫起来,LS
听清楚了吗？““听清楚了,LS
“算了，待一会儿，我自己去买,LS
圆脸，没有什么肉，处处都有棱有角的发着光,LS
他们走过了祁天佑投河的地方，钱先生指给了晓荷看,LS
嗑喳一刀，他便成了英雄，名满九城！,LS
扁脸姑娘的身上都发了红，口中的白气更白了,LS
高亦陀是被两个人抬出来的，他已瘾得象一团泥,LS
可是，大儿子刚能挣钱，就二话不说离开了北平,LS
瑞全怀疑他是否找对了地方,LS
在他看，他应当领着重孙子到一号去道歉,LS
他愿意一睡不再醒，永远不再听到坏消息！他永远没这样“荒唐“过；今天，他没了别的办法！,LS
白巡长乘这个机会解释给钱先生听：“老先生你年纪也不小了，跟他们拚就拚吧；大少爷可不能也教他们捉了去！“,LS
白巡长可是真着了急,LS
看着车站上来往的人，以及脚行，巡警，车站上的职员，她不知道他们之中有多少是特务，哪几个是特务,LS
老夫妇对待住客们几乎象自己的儿女，他们不只到月头收学生们的食宿费，而也关心着大家的健康与品行,LS
对瑞丰，他先夸奖天安门大会开得很好，而后称赞新民会的成绩——谁还没有成绩，只有新民会居然在天安门前露了脸，教学生们和日本人打了对面！然后，他又提起蓝东阳来：“你给我约了他没有啊？还没有？为什么呢？嘴上无毛，办事不牢！无论如何，你给我把他请到！什么？明天晚饭，再好没有啦！告诉你，瑞丰，你要乐观，要努力，要交结的广，有这三样，一个人就可以生生不已，老有饱饭吃！“,LS
他在言谈之中总爱说上一句：“英国货而外，德国牌子最靠得住,LS
这可以算作个大杂院,LS
他忽然的看见了石榴花,LS
蓝东阳和中华民族五千年的文化毫不相干,LS
吃完，她摸着胸口，告诉高第：“得了，这回可把我管教得够瞧的！从此我不再唱戏，也不溜冰！好家伙，再招出一场是非来，我非死在狱里不可！“她要开始和高第学一学怎么织毛线帽子：“你教给我，姐！从此我再也不淘气了！“他把“姐“叫得挺亲热，好象真有点要改过自新似的,LS
你入过狱了，见过了死亡，即使你不能帮助我，可也不会劝阻我了！劝阻使我发怒,LS
虽然没抬头，他可是觉得出，行人都没有看他；他的耻辱，也是他们的；他是他们中间的老人,LS
日本大夫又来了，东阳吃了点儿药，迷迷糊糊地睡了,LS
不久，他们都下了车,LS
好，——先拿他们开开刀,LS
他不能，绝对不能，再想死,LS
“干吗呀？小顺儿！放开二叔的衣裳！“瑞宣沉着点脸，而并没生气的说,LS
当吃饺子的时候，她端坐在炕头上，帮着包；她包的很细致严密，饺子的边缘上必定捏上花儿,LS
瘦子把脸往墙上贴得更紧了,LS
“我，这儿又不是饭馆！滚出去！敢来戏弄处长，哈！““太太呢？我见见太太！“晓荷真着了急，想向胖菊子求救,LS
“老三就算是死啦！“瑞宣也低声的说,LS
它冷落，也有阳光；它消沉，而也有钱伯伯与高第的热烈,LS
“可是，你斗得过家里的人吗？你吃着家里，喝着家里，你就得听他们的话！“桐芳的声音很低，而说得很恳切,LS
他愿一气走到坟地去——在城里住的人很不易得到在郊外走一走的机会，况且今天的天气是这么好，而他的肚子里又有了那么多的油条,LS
“你们二爷教我给他拉包月去！既是熟人儿，又可以少受点累，我不愿意走！“,LS
在结婚的以前，他们俩曾拉着手逛过几次公园，也狠狠的吵过几回架,LS
“白巡长虽然是对她说话，可是旁人自然也会听到；于是她与大家都感到了安定,LS
正在这个难堪的时节，高亦陀走了进来,LS
他一口一杯，而后把花生米嚼得很响,LS
瑞宣声音低而恳切的问：“他也许是昏过去了吧？一个活人能那么容易死掉？“,LS
同时，他可也想不起别的，合适的答话,LS
连相貌不扬的蒜头，还会蹿出碧绿的苗儿呢,LS
有了名，和东阳散了伙才正好呢,LS
不用说老父亲，就是他自己也毫无办法，毫无用处了,LS
他们也决定了，不教小崔太太去，因为连孙七等见了人头就瘫软在街上，小崔太太若见到丈夫的尸身，恐怕会一下子哭死的,LS
她仍然愿意教孙辈所受的管束与昔年自己的儿子所受的一样多，一样好；但是，也不是怎的，她总以为儿媳妇的管法似乎太严厉，不合乎适可而止的中道,LS
她不大爱说话，但是一开口也满有趣味与见解，所以和天佑太太与韵梅成了好朋友,LS
祁老太爷和天佑是安分守己的买卖人，他们的举止言谈都毫无掩饰的露出他们的本色,LS
他不能缩头缩脑的躲开,LS
他愿意把刚刚听来的消息，与他自己的意见，说给老人听；老人的理解是比祁老人和韵梅的高明得很多的,LS
李老人特别希望如此，因为他已经挨了不少冤枉骂，所以切盼把一劳永逸的粮证发给大家，结束了这一桩事，不再多受攻击,LS
头上脸上全是红光儿，脸上没有胡须，头上只剩了几十根灰白的头发,LS
虽然高第并没有给他点好颜色看，他可是觉得很开心，并且时常暗示给她：“别发愁，大小姐！多喒我有了好事，大家就都跟着好起来！咱们是知己的朋友啊,LS
她有时候想休息休息，而又不能休息，事情逼着她去活动,LS
他也没太客气，有说有笑的，把饭吃了,LS
要是他不敢管日本人，也就不该管中国人,LS
她想起来一个好主意,LS
“他穿着什么？“瑞宣把声音放得很低的问；他的心可是跳得很快,LS
在他的偶尔睁开的眼中，他似乎看到面前有个美女子来回的闪动,LS
因此，北平的房不够用的了,LS
现在，她觉得自己连一点儿胆子也没有,LS
“别费事！给我作碗片儿汤就行了！““片儿汤？“祁老人的小眼睛睁得不能再大一点,LS
瑞宣自己便是这样的人！,LS
今天，他的手握得时间比较的长，而没有话可说,LS
“我不会！明天见吧！“象往前带球似的，他三两步跑到自己家门前,LS
“死“的空气封住了大家的嘴，谁都不想出声，更不要说拌几句嘴了,LS
现在，她好似睁开了眼，她与北平的一切似乎都有了密切的关系,LS
中国的抗战就是要打明白了你们，教你们明白你们并不是主人的民族，而世界的和平是必定仗着民族的平等与自由的！“他还要告诉山木：“你以为你们已经征服了我们，其实，战争还没有结束，你们还不能证明是否战胜！你们的三月亡华论已经落了空，现在，你们想用汉奸帮助你们慢慢的灭亡中国；你们的方法变动了一点，而始终没有觉悟你们的愚蠢与错误,LS
每天早晨她都怕照镜子,LS
他告诉自己：不要再管世界吧，自己连国难都不能奔赴，解救，还说什么呢？,LS
那晴美的天光，琉璃瓦的宫殿，美好的饮食，和许多别的小小的方便与享受，都是毒物,LS
瑞宣不顾得洗脸，只草草的擦了一把；坐狱使人记住大事，而把洗脸刷牙可以忽略过去,LS
“你看呢？“小文的态度是那么自然，使冠晓荷绝不会怀疑他是有意的不回答问题，或是故意的要考验考验客人的知识,LS
有朝一日，钱老头子落在他手里，他一定不能善罢甘休,LS
晓荷找出两份儿礼物来，一份儿是两瓶永远不会有人喝的酒，一份儿是成匣的陈皮梅，藕粉，与饼干；两份儿都已游历过至少有二十几家人家了,LS
“怎么？都能坐起来了？“野求心中也很高兴,LS
“我看就行了！你走两步看！“,LS
在她想，瑞丰和祁掌柜是一家人，祁掌柜既给了布和钱，瑞丰虽然什么都没给，也就可以说得过去了；十个脚趾头哪能一边儿长呢,LS
再转过身来，她看明白：其余的屋子都黑忽忽的，只有北房的西间儿有一点灯光,LS
他以为只要自己有那点学问，别人就决不会来麻烦他,LS
站在公园或屋里，她觉得她的每一个脚指头都嘎噔嘎噔的直响！,LS
瑞丰不想把事情告诉小崔,LS
祁老人用破缸装满石头，顶住了街门,LS
对，准是这么回事！瑞宣太胡闹了，哼！你教人家抓去不要紧，连累得我老二也丢了人缘！这么一盘算，他有点恨瑞宣了,LS
在义赈游艺会里，他是招待员,LS
咽了几口气，他渴盼校长会忽然的进来，象一股阳光似的进来，把屋中的潮气与大家心中的闷气都赶了走,LS
再说，高亦陀，在她看，是她的心腹，必定比晓荷更能把事情处理得妥当一些,LS
多少日子了，他没听到一件痛快的事；今天，他的心张开了：“好！解恨！谁说咱们北平没有英雄好汉呢！“他一边往家走，一边跟自己说,LS
他耷拉下肩膀，手脚瑟瑟地哆嗦起来,LS
好吧，命运既被决定，他就笑着迎上前去吧,LS
每一口棺材，在老人眼中，都仿佛应当属于自己,LS
“我是个例外！“瑞丰强硬了一些,LS
他们没的可说，而只报导一些欧战的消息，在消息之外还作一些小文，说明德国的攻取华沙正用的日本人攻打台儿庄的战术，替日本人遮一遮羞,LS
可怜的妈妈！只要我一出这个门，恐怕就永远不能相见了！他轻轻的走到院中,LS
楞了好久，她忽然的立起来，往外跑,LS
小崔虽得罪了冠先生和大赤包，尤桐芳和高第可是还坐他的车；桐芳对苦人，是有同情心的，所以故意的雇他的车，而且多给点钱，好教小崔没白挨了大赤包的一个嘴巴；高第呢是成心反抗母亲，母亲越讨厌小崔，她就越多坐他的车子,LS
楞了一会儿，他忽然的笑了,LS
他喜欢看他们饿得头上出凉汗,LS
“好！逃出去的有两条路，不是死就是活,LS
“虽然这么说呀，一家人到底是一家人，难道因为他没出息，就不要他了吗？“韵梅还勉强笑着说,LS
“告诉你，好小子，别再跟家里的吵！日本鬼子进了城！“李四妈没说完，叹了口气,LS
他会一声不响的溜到钱家去，和钱家父子谈一谈与家事国事距离很远的事情，便把胸中的恶气散尽,LS
但是，宪兵不过是宪兵，宪兵大概不会放给他差事,LS
没有人这么早来逛庙，他自己也并不希望看见什么豆汁摊子，大糖葫芦，沙雁，风车与那些红男绿女,LS
出去的时候，他走得相当的快，仿佛要去办一件要事,LS
她平日总以为爸爸不过是妈妈配角儿，平平稳稳的，没有什么大毛病，可也不会得个满堂好儿,LS
大赤包深深的吸了一口气，用手轻轻的揉着胸口，她的心中憋得慌,LS
大赤包觉得有多少只手在打她的嘴巴！不错，女儿迟早是要出嫁的，但是她的女儿就须按照她的心意去嫁人,LS
她的微笑里含着威严与狡猾，象雌狮对一只小兔那么威而不厉的逗弄着玩,LS
他怕共产党，也怕老头子们,LS
他又不能不承认事实，太太作官是千真万确的，而凡是官就必有官的气派，太太也非例外,LS
睁开眼，他也许还在地上坐着呢，也许是躺着呢,LS
他可是只要还有一点力气，便鼓舞他们，教他们记住仇恨和准备报仇,LS
“当初，我就不喜欢你们的婚姻，既没看看八字儿，批一批婚，又没请老人们相看相看；这可好，闹出毛病来没有？不听老人言，祸患在眼前！这简直把祁家的脸丢透了！“,LS
天佑太太大声哭了起来,LS
“某人对我怎样？“,LS
“不用管我，我有我的办法！你若肯把女儿带走，我把这些破桌子烂板凳，托李四爷给卖一卖,LS
仗着这一阵宽容之风，说相声的黑毛儿方六也打牢里放了出来,LS
他的礼貌永远捆着他的手脚,LS
他本来已经拒绝看新民会控制着的报纸，近来他又改变了这个态度,LS
在那屋中，最温暖的当然是常二爷的语声与笑声,LS
他们的院子里几乎永远没有任何响动,LS
他知道自己要输，可是不便露出怕输一桌酒席的意思,LS
她没想到东阳会有这么多心路，竟自想起教她去作所长！从她一认识东阳，一直到嫁给他，她没有真的喜爱过他一回,LS
他只感到自己象浑水中的一条鱼，四面八方全是泥沙,LS
他顾不得计算除了车钱，水钱，灯油钱，针线钱，一块钱还能剩下多少,LS
一会儿，他又想到，假若被侵略的不去抵抗，不去打死侵略者，岂不就证明弱肉强食的道理是可以畅行无阻，而世界上再没有什么正义可言了么？,LS
瑞丰，在吃过几杯竹叶青之后，把一切烦恼都忘掉，而觉得世界象刚吐蕊的花那样美好,LS
假若那些没有任何营养的东西对他无益，它们就能很快的杀死老人与孩子们；它们是毒药！想到孩子们也会饿死，他的头上出了冷汗,LS
起来！今天我放了你！明天，后天，我看你还不改过，我还会跟你算账！你听明白了？“,LS
学生全到了礼堂，他极严肃的上了讲台,LS
亦陀先把晓荷扶在一张椅子上坐好，而后笑着说：“所长的顾虑是对的！这件事绝对不可声张,LS
你就须给买主儿一块布，一把或两把雨伞，不管人家需要雨伞与否！,LS
进了葫芦脖子，看见了墙根堆着的垃圾，你才敢放胆往里面走，象哥仑布看到海上有漂浮着的东西才敢更向前进那样,LS
剥去他们的那些破烂污浊的衣服，他们会和尧舜一样圣洁，伟大，坚强！,LS
那么，这件婚事实在是门当户对，而双方的势力与地位，都足以教大家并上嘴的,LS
由前两天的经验，她晓得留在北平的朋友们都并没有什么很大的势力，所以她一方面教晓荷去找他们，多有些联络反正是有益无损的；在另一方面，她自己去另辟门路，专去拜访妇女们——那些在天津的阔人们的老太太，太太，姨太太，或小姐，因为爱听戏或某种原因而留在北平的,LS
程长顺微微有点肚子疼，想出去方便方便,LS
他并不忠心于日本主子，而是为他自己弄钱,LS
“瑞丰！今天怎么这样闲在？“他好象一点不晓得她们刚吵完架似的,LS
他是一个心孔的人，看到了生意，他就作生意，顾不得想别的,LS
她很想去看看李四爷，可又不敢走开,LS
他教过，而且喜欢，瑞宣，原因是瑞宣的安详文雅，据他看，是有点象三十年前的中国人,LS
他知道他必须卖力气，多挣钱，能使她吃得好一点，穿得好一点，她就必能满意，渐渐的忘了小崔,LS
“不信，他明天出了狱，回来，咱们还不是得给他饭吃！“,LS
胡里胡涂的走了好几十步，他才看清，他是作了两位太太的俘虏,LS
“胸“和“肚“大概就是羊圈吧？这还待历史家去考查一番，而后才能断定,LS
老太太扶住了墙，低声的说：“老二不是东西，可也是我的儿子！“,LS
摸了摸衣袋，他向车夫说：“等一等，给你拿钱,LS
一天忙到晚，她实在没有工夫作梦,LS
丁约翰是里长，站在头里,LS
瑞宣连点头也没有点，昂然的走开,LS
“不论怎么说，我不爱听在上海打仗！等我逛过一回再打仗不行吗？“,LS
他们的岁数都比她大呀！乐观了一辈子的祁老人说了丧气话：“四爷！受一辈子苦倒不算什么，老了老了的教日本人收拾死，才，才，才，……“他说不下去了,LS
慢慢的他走向北城根去,LS
到吃晚饭的时候，瑞丰还没有回来，大家并没怎么觉得奇怪,LS
瑞宣，胖胖的，长得很象父亲,LS
他们的脚找不到一定的地方，一会儿落在地上，一会儿飞到空中,LS
“我就拦得住你！“大赤包拍着胸口说,LS
两人走进一家小饭铺,LS
中国人也学会了这一套！中国人聪明，什么都一学就会，可是只没学会怎么强硬与反抗！,LS
